date,startup,vertical,subvertical,city,investor,round,amount
8/30/2021,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,495
8/30/2021,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,16.5
8/30/2021,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,24.75
8/30/2021,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,0
8/31/2021,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,43.725
8/31/2021,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,0
7/1/2021,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,0
7/1/2021,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,0
7/1/2021,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,4.125
7/1/2021,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,0
7/2/2021,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,5.775
7/4/2021,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,0
7/4/2021,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,123.75
7/4/2021,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,1.65
7/4/2021,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,16.5
7/4/2021,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,0
7/4/2021,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,132
7/5/2021,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,8.25
7/5/2021,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,676.5
7/5/2021,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,14.025
7/6/2021,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,6.105
7/6/2021,Don't Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,2.0625
7/6/2021,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,2.45025
7/7/2021,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,16.5
7/7/2021,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,8.25
7/7/2021,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,0
7/7/2021,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,0
7/8/2021,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,0
